Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480616,250.57
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480632,250.41
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480651,250.75
switch4,4.32.5M,CCS-720DP-48S-2F,WTW25020558,450.23
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24440643,250.35
switch6,4.32.5M,CCS-720DP-48S-2F,WTW24500385,418.08
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480424,221.61
switch8,4.32.5M,CCS-720DP-48S-2F,WTW25020555,419.48
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480318,220.81
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480656,220.76
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480474,192.46
switch12,4.32.5M,CCS-720DP-48S-2F,WTW24500223,390.09
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480687,193.79
switch14,4.32.5M,CCS-720DP-48S-2F,WTW25020554,388.35
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480681,231.31
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480324,184.44
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480576,162.79
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480484,165.92
switch19,4.32.5M,CCS-720DP-24S-2F,WTW24480342,159.45
switch20,4.32.5M,CCS-720DP-24S-2F,WTW24480676,159.42
switch21,4.32.5M,CCS-720DP-48S-2F,WTW25020550,352.97
