Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480479,177.26
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480317,174.96
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480468,173.71
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480364,177.33
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480354,175.77
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480309,150.07
