Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480431,520.62
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480311,520.47
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480758,520.31
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480395,519.7
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480336,521.19
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480466,491.99
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480531,490.17
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480370,491.13
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480388,489.53
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480654,529.96
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480478,480.57
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24440609,465.27
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480385,462.68
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480403,461.32
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480426,462.68
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480418,455.67
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480315,438.07
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480333,430.82
switch19,4.32.5M,CCS-720DP-24S-2F,WTW24480358,431.86
switch20,4.32.5M,CCS-720DP-24S-2F,WTW24480313,434.58
