Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480606,238.44
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480527,239.19
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480692,237.74
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480579,238.37
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480433,237.42
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480356,208.52
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480806,207.47
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480334,210.32
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480534,209.9
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480624,208.14
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480522,179.19
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480669,180.23
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480637,181.15
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480666,178.51
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480511,177.29
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480568,189.4
