Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24440470,421.43
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480699,458.46
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480360,420.35
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480671,422.01
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480799,420.59
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480663,411.56
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480400,395.04
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480670,395.03
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480434,391.0
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480457,393.3
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480599,381.54
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480682,365.92
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480545,364.54
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480452,364.7
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480728,362.19
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480515,352.05
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480660,336.75
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480649,337.39
switch19,4.32.5M,CCS-720DP-24S-2F,WTW24480436,334.47
switch20,4.32.5M,CCS-720DP-24S-2F,WTW24480653,332.89
switch21,4.32.5M,CCS-720DP-24S-2F,WTW24480578,320.87
switch22,4.32.5M,CCS-720DP-24S-2F,WTW24480419,309.88
switch23,4.32.5M,CCS-720DP-24S-2F,WTW24480446,305.74
switch24,4.32.5M,CCS-720DP-24S-2F,WTW24480702,301.66
switch25,4.32.5M,CCS-720DP-24S-2F,WTW24480329,305.11
switch26,4.32.5M,CCS-720DP-24S-2F,WTW24480819,290.19
switch27,4.32.5M,CCS-720DP-24S-2F,WTW24480646,321.69
switch28,4.32.5M,CCS-720DP-24S-2F,WTW24480378,279.22
switch29,4.32.5M,CCS-720DP-24S-2F,WTW24480641,278.96
