Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480526,248.58
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480707,248.08
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480476,248.57
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480587,247.3
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480501,247.68
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480652,218.82
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480620,219.4
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480332,219.23
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480524,219.2
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480664,218.25
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480347,191.62
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24440155,188.72
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480443,193.49
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480704,230.13
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480327,189.12
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480499,180.44
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480640,162.05
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480435,159.24
switch19,4.32.5M,CCS-720DP-24S-2F,WTW24480630,162.25
switch20,4.32.5M,CCS-720DP-24S-2F,WTW24480672,199.73
switch21,4.32.5M,CCS-720DP-24S-2F,WTW24480647,151.43
switch22,4.32.5M,CCS-720DP-24S-2F,WTW24480657,152.19
switch23,4.32.5M,CCS-720DP-24S-2F,WTW24480371,135.04
switch24,4.32.5M,CCS-720DP-24S-2F,WTW24480577,133.61
switch25,4.32.5M,CCS-720DP-24S-2F,WTW24480341,133.24
switch26,4.32.5M,CCS-720DP-24S-2F,WTW24480456,121.42
switch27,4.32.5M,CCS-720DP-24S-2F,WTW24480705,122.88
switch28,4.32.5M,CCS-720DP-24S-2F,WTW24480665,106.61
switch29,4.32.5M,CCS-720DP-24S-2F,WTW24480648,102.6
switch30,4.32.5M,CCS-720DP-24S-2F,WTW24480398,103.52
